describe,evaluate,introduce,movie_name,serial_number,star
深入内心的恐怖，出人意料的结局。,420959人评价,"导演: M·奈特·沙马兰 M. Night Shyamalan 主演: 布鲁斯·威利斯 Bruce Wi...,1999 / 美国 / 剧情 悬疑 惊悚",第六感,105,8.9
寂寞没有期限。,609193人评价,"导演: 王家卫 Kar Wai Wong 主演: 林青霞 Brigitte Lin / 金城武 Takeshi K...,1994 / 中国香港 / 剧情 爱情",重庆森林,106,8.7
死可能是一道门，逝去并不是终结，而是超越，走向下一程。,465576人评价,"导演: 泷田洋二郎 Yôjirô Takita 主演: 本木雅弘 Masahiro Motoki / ...,2008 / 日本 / 剧情",入殓师,107,8.9
尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,288387人评价,"导演: 森淳一 Junichi Mori 主演: 桥本爱 Ai Hashimoto / 三浦贵大 Takahir...,2015 / 日本 / 剧情",小森林 冬春篇,108,9.0
年度最佳date movie。,689711人评价,"导演: 大卫·芬奇 David Fincher 主演: 本·阿弗莱克 Ben Affleck / 罗莎蒙...,2014 / 美国 / 剧情 犯罪 悬疑 惊悚",消失的爱人,109,8.7
华太师是黄霑，吴镇宇四大才子之一。,794526人评价,"导演: 李力持 Lik-Chi Lee 主演: 周星驰 Stephen Chow / 巩俐 Li Gong / 陈...,1993 / 中国香港 / 喜剧 爱情 古装",唐伯虎点秋香,110,8.6
缘分是个连绵词，最美不过一瞬。,464783人评价,"导演: 理查德·林克莱特 Richard Linklater 主演: 伊桑·霍克 Ethan Hawke ...,1995 / 美国 奥地利 瑞士 / 剧情 爱情",爱在黎明破晓前,111,8.8
我们都曾经是一一。,272708人评价,"导演: 杨德昌 Edward Yang 主演: 吴念真 / 李凯莉 Kelly Lee / 金燕玲 Elai...,2000 / 中国台湾 日本 / 剧情 爱情 家庭",一一,112,9.0
诺兰就是保证。,551285人评价,"导演: 克里斯托弗·诺兰 Christopher Nolan 主演: 克里斯蒂安·贝尔 Christ...,2012 / 美国 英国 / 剧情 动作 科幻 犯罪 惊悚",蝙蝠侠：黑暗骑士崛起,113,8.8
从没见过那么流氓的温柔，从没见过那么温柔的流氓。,429112人评价,"导演: 北野武 Takeshi Kitano 主演: 北野武 Takeshi Kitano / 关口雄介 Yus...,1999 / 日本 / 剧情 喜剧",菊次郎的夏天,114,8.8
穷尽一生，我们要学会的，不过是彼此拥抱。,361846人评价,"导演: 托尼·凯耶 Tony Kaye 主演: 艾德里安·布洛迪 Adrien Brody / 马西...,2011 / 美国 / 剧情",超脱,115,8.9
少女情怀总是诗。,353453人评价,"导演: 近藤喜文 Yoshifumi Kondo 主演: 本名阳子 Youko Honna / 小林桂树 K...,1995 / 日本 / 剧情 爱情 动画",侧耳倾听,116,8.9
两张绝世的脸。 ,559529人评价,"导演: 程小东 Siu-Tung Ching 主演: 张国荣 Leslie Cheung / 王祖贤 Joey W...,1987 / 中国香港 / 爱情 奇幻 武侠 古装",倩女幽魂,117,8.7
我的平常生活就是他人的幸福。,216307人评价,"导演: 是枝裕和 Hirokazu Koreeda 主演: 柳乐优弥 Yûya Yagira / 北浦爱...,2004 / 日本 / 剧情",无人知晓,118,9.1
Balalala~~~,767063人评价,"导演: 唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams 主演: 斯科特...,2014 / 美国 / 喜剧 动作 科幻 动画 冒险",超能陆战队,119,8.7
相逢只要一瞬间，等待却像是一辈子。,399055人评价,"导演: 陈可辛 Peter Chan 主演: 黎明 Leon Lai / 张曼玉 Maggie Cheung / ...,1996 / 中国香港 / 剧情 爱情",甜蜜蜜,120,8.8
你是我最好的朋友，你是我唯一的朋友 。,349079人评价,"导演: 亚当·艾略特 Adam Elliot 主演: 托妮·科莱特 Toni Collette / 菲利...,2009 / 澳大利亚 / 剧情 喜剧 动画",玛丽和马克思,121,8.9
